1;ninja;;14,688,237;480,151,503
2;tfue;;7,001,863;163,084,812
3;shroud;;6,994,366;359,096,129
4;myth;;5,400,872;84,046,414
5;mythcody;;5,400,872;84,046,414
6;plebcody;;5,400,872;84,046,414
7;codyreese;;5,400,872;84,046,414
8;dakotaz;;4,074,918;103,429,930
9;riotgames;;4,066,546;1,183,431,980
10;timthetatman;;4,036,564;155,950,672
11;summit1g;;3,963,394;307,583,894
12;tsm_daequan;;3,708,448;49,055,652
13;drdisrespect;;3,702,619;143,316,004
14;drlupo;;3,574,372;79,024,514
15;pokimane;;3,430,120;79,483,386
16;esl_csgo;;3,269,122;392,319,532
17;nickmercs;;3,039,746;76,464,615
18;syndicate;;2,741,469;57,552,493
19;loltyler1;;2,623,686;126,082,297
20;sodapoppin;;2,612,676;296,039,986
21;imaqtpie;;2,598,847;320,947,822
22;sypherpk;;2,557,569;45,782,314
23;nightblue3;;2,486,639;215,730,972
24;lirik;;2,475,283;311,353,967
25;fortnite;;2,401,592;64,591,572
26;alanzoka;;2,187,054;77,103,033
27;electronicdesire;;2,187,054;77,103,033
28;couragejd;;2,067,932;36,978,733
29;rubius;;2,067,312;21,183,929
30;elrubiuslive;;2,067,312;21,183,929
31;tsm_hamlinz;;2,001,185;23,893,749
32;faker;;1,992,209;64,390,846
33;lolitofdez;;1,949,012;35,474,334
34;montanablack88;;1,936,453;49,214,241
35;castro_1021;;1,914,449;70,822,493
36;cdnthe3rd;;1,875,689;45,011,915
37;gotaga;;1,840,089;80,869,397
38;overwatchleague;;1,763,447;232,748,614
39;symfuhny;;1,700,966;30,902,115
40;mongraal;;1,667,890;25,082,665
41;faceittv;;1,657,437;194,353,332
42;joshog;;1,636,255;75,169,741
43;cizzorz;;1,627,029;18,244,774
44;highdistortion;;1,625,226;27,256,469
45;cloakzy;;1,613,635;23,929,925
46;gamesdonequick;;1,588,500;266,062,278
47;xqcow;;1,583,278;91,621,998
48;boxbox;;1,581,331;93,343,332
49;gosu;;1,578,836;112,862,929
50;eleaguetv;;1,548,745;131,558,076
51;elded;;1,521,990;23,324,750
52;dedreviil2;;1,521,990;23,324,750
53;dreamhackcs;;1,516,425;164,734,465
54;c9sneaky;;1,499,000;101,311,776
55;amouranth;;1,498,134;93,887,890
56;dyrus;;1,472,527;219,954,668
57;tsm_bjergsen;;1,466,966;92,580,219
58;yoda;;1,433,644;142,929,558
59;stonedyooda;;1,433,644;142,929,558
60;squeezielive;;1,428,753;21,674,326
61;kingrichard;;1,428,667;30,475,082
62;kingrichard15;;1,428,667;30,475,082
63;goldglove;;1,415,168;64,942,731
64;alanzoka;;1,409,077;41,482,002
65;electronicdesire;;1,409,077;41,482,002
66;PhantomL0rd;;1,396,710;88,627,115
67;captainsparklez;;1,392,237;24,299,323
68;mrfreshasian;;1,374,682;14,281,847
69;trick2g;;1,370,566;142,246,918
70;bobross;;1,347,296;30,179,458
71;aydan;;1,340,493;16,754,950
72;aydanc;;1,340,493;16,754,950
73;arigameplays;;1,332,484;11,969,291
74;wtcn;;1,325,741;56,380,962
75;wtcnn;;1,325,741;56,380,962
76;nl_kripp;;1,288,718;227,100,887
77;doublelift;;1,281,777;69,494,549
78;yoda;;1,266,902;125,434,221
79;stonedyooda;;1,266,902;125,434,221
80;fernanfloo;;1,266,583;10,248,942
81;yassuo;;1,233,535;48,678,444
82;asmongold;;1,228,406;93,353,889
83;jahrein;;1,206,689;50,367,520
84;izakooo;;1,192,829;143,883,736
85;swiftor;;1,174,773;47,305,975
86;sovietwomble;;1,173,692;22,293,667
87;disguisedtoast;;1,167,267;68,296,920
88;disguisedtoasths;;1,167,267;68,296,920
89;cohhcarnage;;1,158,791;132,612,543
90;forsen;;1,154,982;117,196,829
91;forsenlol;;1,154,982;117,196,829
92;jericho;;1,136,908;30,420,965
93;rainbow6;;1,130,196;41,906,435
94;voyboy;;1,112,806;121,296,779
95;anomaly;;1,097,715;25,848,059
96;anomalyxd;;1,097,715;25,848,059
97;loserfruit;;1,093,844;26,663,720
98;trymacs;;1,083,111;38,187,151
99;pewdiepie;;1,074,182;7,648,494
100;solaryfortnite;;1,068,496;63,404,251
